Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
116,Eshani Bajaj,0,57,29,43,2
117,Ehsaan Das,45,92,12,68.5,1
118,Ishita Bassi,47,34,37,42,2
119,Oorja Vohra,94,84,27,89,1
120,Veer Kata,73,51,31,62,1
121,Ojas Raj,29,69,75,72,1
122,Gatik Doctor,10,27,10,18.5,3
123,Indrajit Ghosh,44,10,43,43.5,1
124,Mamooty Ganesan,12,87,52,69.5,1
125,Yuvraj  Bhatt,11,13,50,31.5,2
126,Aaina Dara,34,19,5,26.5,3
127,Raghav Dass,49,15,28,38.5,2
128,Nayantara Batta,6,49,76,62.5,1
129,Devansh Dewan,55,85,27,70,1
130,Samiha Swamy,83,11,25,54,2
131,Jayesh Goyal,63,17,74,68.5,1
132,Alisha Sura,40,14,38,39,2
133,Pihu Agarwal,68,1,71,69.5,1
134,Vivaan Borra,76,74,81,78.5,0
135,Rohan Ahluwalia,73,48,22,60.5,1
136,Hridaan Karan,75,40,20,57.5,1
137,Samiha Bawa,21,99,48,73.5,1
138,Tarini Srinivas,31,67,93,80,1
139,Kabir Vasa,50,1,89,69.5,1
140,Sahil Kunda,88,14,27,57.5,2
141,Kaira Vig,64,84,6,74,1
142,Kiara Verma,16,27,35,31,3
143,Yakshit Baral,75,97,86,91.5,0
144,Arnav Iyengar,45,83,42,64,0
145,Biju Dutt,65,92,54,78.5,0
146,Tara Walla,36,82,42,62,1
147,Sahil Aggarwal,84,100,62,92,0
148,Zaina Sarraf,16,17,78,47.5,2
149,Anahita Kala,42,64,17,53,1
150,Umang Barman,87,22,48,67.5,1
151,Vihaan Bahl,67,99,65,83,0
152,Riya Jain,10,66,91,78.5,1
153,Adah Varty,47,80,42,63.5,0
154,Nishith Keer,4,60,46,53,1
155,Veer Ratti,47,6,94,70.5,1
156,Vivaan Bhatia,96,26,51,73.5,1
157,Saira Talwar,36,89,13,62.5,2
158,Emir Gopal,35,85,46,65.5,1
159,Fateh Dhingra,77,71,60,74,0
160,Rhea Sani,0,8,51,29.5,2
161,Vivaan Dora,23,21,42,32.5,2
162,Uthkarsh Keer,13,85,56,70.5,1
163,Anay Kale,80,28,12,54,2
164,Ahana  Gupta,8,29,81,55,2
165,Taran Korpal,55,62,57,59.5,0
166,Prerak Ganguly,13,17,86,51.5,2
167,Arnav Salvi,17,90,88,89,1
168,Aradhya Hans,9,67,90,78.5,1
169,Myra Ghosh,4,10,79,44.5,2
170,Tiya Upadhyay,48,99,29,73.5,1
171,Vivaan Yadav,98,8,23,60.5,2
172,Hazel Sanghvi,17,27,70,48.5,2
173,Oorja Chand,35,76,43,59.5,1
174,Saanvi Batta,34,71,40,55.5,1
175,Ishita Agate,45,47,34,46,1
176,Sahil Sangha,3,50,7,28.5,2
177,Vivaan Trivedi,97,45,27,71,1
178,Kanav Sarraf,58,49,8,53.5,1
179,Eva Choudhry,80,62,37,71,1
180,Anay Atwal,81,68,68,74.5,0
181,Hansh Tara,2,33,75,54,2
182,Dhruv Sandal,30,7,96,63,2
183,Purab Uppal,70,11,47,58.5,1
184,Ojas Choudhary,21,43,96,69.5,1
185,Aniruddh Singhal,77,41,54,65.5,0
186,Hansh Salvi,78,62,5,70,1
187,Vidur Walla,51,82,39,66.5,1
188,Zaina Dubey,92,19,94,93,1
189,Yasmin Date,20,80,17,50,2
190,Zoya Ranganathan,24,53,47,50,1
191,Baiju Agrawal,40,88,31,64,1
192,Anahita Kant,86,34,33,60,2
193,Lakshay Trivedi,97,51,63,80,0
194,Devansh Arya,7,9,99,54,2
195,Charvi Sachdev,99,80,1,89.5,1
196,Vanya Vala,85,46,53,69,0
197,Saksham Bose,14,33,31,32,3
198,Divyansh Lata,82,10,46,64,1
199,Anahi Mand,8,6,62,35,2
200,Anya Ganesh,58,59,71,65,0
201,Akarsh Sani,98,80,21,89,1
202,Ehsaan Deo,43,86,74,80,0
203,Yasmin Chahal,89,3,8,48.5,2
204,Taran Kumer,57,9,93,75,1
205,Ayesha Yadav,23,94,91,92.5,1
206,Vaibhav Gade,64,13,94,79,1
207,Aarav Ganguly,29,66,98,82,1
208,Sahil Tripathi,44,81,80,80.5,0
209,Krish Sarkar,99,91,72,95,0
210,Taimur Thakkar,93,100,97,98.5,0
211,Nirvi Sankaran,3,46,54,50,1
212,Vidur Sarraf,87,70,59,78.5,0
213,Renee Agarwal,56,44,20,50,1
214,Rhea Chander,96,80,57,88,0
215,Samar Anand,63,81,27,72,1
216,Anya Sahota,46,91,86,88.5,0
217,Vidur Dugar,41,87,81,84,0
218,Rati Bains,1,49,35,42,2
219,Ira Gola,68,48,4,58,1
220,Chirag Barad,16,18,91,54.5,2
221,Ela Kaur,39,31,69,54,2
222,Bhavin Swamy,81,56,47,68.5,0
223,Alia Banik,82,3,97,89.5,1
224,Pari Balakrishnan,59,66,36,62.5,1
225,Amira Arora,60,40,51,55.5,0
226,Bhavin Bose,36,6,54,45,2
227,Pihu Lata,26,40,52,46,1
228,Raghav Soman,93,30,25,61.5,2
229,Eshani Lall,10,72,48,60,1
230,Rati Bassi,72,84,25,78,1
231,Emir Sibal,70,78,95,86.5,0
232,Trisha Sane,93,25,80,86.5,1
233,Lavanya Edwin,66,83,76,79.5,0
234,Kiaan Hayre,65,65,46,65,0
235,Mishti Mand,49,26,33,41,2
236,Advik Sanghvi,35,56,6,45.5,2
237,Nayantara Subramanian,50,45,44,47.5,0
238,Aarush Sahota,78,14,77,77.5,1
239,Rania Dar,83,53,69,76,0
240,Uthkarsh Mandal,19,4,99,59,2
241,Ela Tata,1,93,55,74,1
242,Arnav Sankaran,73,67,27,70,1
243,Vivaan Aggarwal,17,39,49,44,2
244,Chirag Saxena,45,35,75,60,1
245,Shanaya Korpal,10,47,100,73.5,1
246,Siya Grewal,20,5,52,36,2
247,Reyansh Chawla,58,86,63,74.5,0
248,Hrishita Deshmukh,90,100,11,95,1
249,Riya Bhatia,88,72,57,80,0
250,Armaan Agrawal,92,87,32,89.5,1
251,Eva Master,92,55,76,84,0
252,Rania Loyal,18,87,6,52.5,2
253,Gatik Vala,88,15,100,94,1
254,Mishti Zacharia,20,52,13,36,2
255,Emir Sachar,23,45,1,34,2
256,Inaaya  Bhavsar,13,89,99,94,1
257,Divyansh Kaul,64,43,94,79,0
258,Shanaya Seshadri,59,39,77,68,1
259,Aarav Sengupta,80,34,62,71,1
260,Dhanuk Behl,60,86,32,73,1
261,Ivan Grewal,37,79,2,58,2
262,Samiha Kapoor,23,94,72,83,1
263,Kabir Ghose,50,60,23,55,1
264,Renee Vasa,51,14,60,55.5,1
265,Hunar Bal,33,51,96,73.5,1
266,Tejas Kale,40,63,72,67.5,0
267,Aradhya Agarwal,60,77,52,68.5,0
268,Baiju Arya,6,7,84,45.5,2
269,Nishith Soni,23,78,100,89,1
270,Taimur Keer,20,90,57,73.5,1
271,Nitya Anne,24,13,88,56,2
272,Saanvi Wable,36,51,67,59,1
273,Abram Kurian,66,73,11,69.5,1
274,Rohan Sangha,75,11,12,43.5,2
275,Saksham Sarna,69,76,52,72.5,0
276,Jayant Keer,59,41,37,50,1
277,Tiya Chopra,66,65,63,65.5,0
278,Adah Kar,62,83,85,84,0
279,Misha Gupta,72,69,92,82,0
280,Divij Choudhry,64,51,77,70.5,0
281,Jayesh Goswami,37,96,73,84.5,1
282,Kartik Mandal,91,87,78,89,0
283,Lakshay Deshpande,75,5,14,44.5,2
284,Vidur Babu,37,61,67,64,1
285,Seher Badal,30,2,83,56.5,2
286,Piya Virk,51,83,50,67,0
287,Amira Batta,6,25,88,56.5,2
288,Vidur Mangal,92,87,4,89.5,1
289,Mehul Grover,53,94,4,73.5,1
290,Aarush Sridhar,22,65,76,70.5,1
291,Ishita Biswas,100,80,24,90,1
292,Ishaan Bhandari,53,55,76,65.5,0
293,Nehmat Bakshi,17,87,74,80.5,1
294,Pihu Hayre,96,20,46,71,1
295,Akarsh Ranganathan,89,23,44,66.5,1
296,Ayesha Chhabra,29,67,15,48,2
297,Purab Cheema,58,21,28,43,2
298,Vedika Tandon,87,87,28,87,1
299,Aaryahi Chokshi,55,37,63,59,1
300,Saira Raju,28,38,83,60.5,2
301,Alisha Kant,31,67,99,83,1
302,Inaaya  Chadha,33,69,30,51,2
303,Nehmat Kulkarni,77,100,80,90,0
304,Samarth Bora,37,55,57,56,1
305,Vritika Sem,73,0,15,44,2
306,Nitara Salvi,29,63,83,73,1
307,Anika Dar,40,7,81,60.5,1
308,Darshit Sama,33,62,74,68,1
309,Aarna Mani,80,56,96,88,0
310,Suhana Rajan,73,20,45,59,1
311,Vidur Subramaniam,84,32,23,58,2
312,Abram Manda,9,59,57,58,1
313,Ritvik Hari,95,53,64,79.5,0
314,Anahita Mand,25,7,48,36.5,2
315,Mehul Bala,69,91,12,80,1
316,Vihaan Savant,85,53,42,69,0
317,Tanya Sarna,74,75,15,74.5,1
318,Shamik Toor,28,15,82,55,2
319,Samarth Sarraf,55,4,30,42.5,2
320,Shray Contractor,66,82,33,74,1
321,Miraan Gill,59,46,2,52.5,1
322,Lakshay Handa,25,76,2,50.5,2
323,Dhanush Manda,9,95,37,66,2
324,Yashvi Das,21,78,66,72,1
325,Vaibhav Jaggi,92,90,83,91,0
326,Uthkarsh Bhardwaj,69,25,27,48,2
327,Tara Kaur,46,50,49,49.5,0
328,Manikya Master,41,61,44,52.5,0
329,Armaan Salvi,94,34,56,75,1
330,Chirag Hari,33,30,69,51,2
331,Yuvraj  Ravi,90,33,35,62.5,2
332,Akarsh Kalita,91,9,77,84,1
333,Krish Dutta,89,100,72,94.5,0
334,Myra Wable,61,91,34,76,1
335,Shalv Golla,23,67,30,48.5,2
336,Advika Shenoy,88,64,45,76,0
337,Sara Mangal,69,96,80,88,0
338,Himmat Thaman,52,24,17,38,2
339,Nakul Warrior,24,12,40,32,2
340,Kabir Sharaf,7,80,50,65,1
341,Badal Dhingra,20,33,77,55,2
342,Prerak Ahluwalia,58,36,55,56.5,1
343,Ishita Dayal,82,59,32,70.5,1
344,Kashvi Guha,95,9,71,83,1
345,Mannat Kaur,25,11,73,49,2
346,Anahita Kakar,45,12,77,61,1
347,Purab Deo,29,68,49,58.5,1
348,Miraya Dora,36,68,35,52,2
349,Ojas Bawa,27,92,82,87,1
350,Shalv Chakrabarti,91,67,53,79,0
351,Miraya Reddy,85,60,75,80,0
352,Chirag Kapur,21,54,31,42.5,2
353,Miraan Mandal,58,59,73,66,0
354,Prerak Garde,26,42,35,38.5,2
355,Tarini Bansal,13,74,92,83,1
356,Amani Dhingra,22,97,26,61.5,2
357,Riya Raja,74,8,59,66.5,1
358,Nishith Edwin,80,10,96,88,1
359,Pihu Andra,45,0,79,62,1
360,Myra Tailor,54,36,29,45,2
361,Sana Mahal,67,0,23,45,2
362,Vedika Sant,59,79,80,79.5,0
363,Azad Savant,90,74,12,82,1
364,Rhea Kant,82,12,75,78.5,1
365,Yuvraj  Ravel,15,83,77,80,1
366,Sara Kakar,1,23,96,59.5,2
367,Eva Issac,50,12,72,61,1
368,Lakshit Sachar,30,79,96,87.5,1
369,Shlok Mammen,3,84,71,77.5,1
370,Aniruddh Kurian,55,64,54,59.5,0
371,Kiara Baral,62,96,16,79,1
372,Kabir Ramanathan,32,29,69,50.5,2
373,Indrans Agarwal,9,70,11,40.5,2
374,Dhruv Kade,82,91,42,86.5,0
375,Kartik Aurora,74,87,86,86.5,0
376,Stuvan Chauhan,69,54,87,78,0
377,Keya Tiwari,60,12,39,49.5,2
378,Nishith Chaudry,16,92,67,79.5,1
379,Ehsaan Mangal,55,29,80,67.5,1
380,Kismat Ganesan,15,46,2,30.5,2
381,Ishaan Korpal,0,9,6,7.5,3
382,Siya Mangal,41,44,37,42.5,1
383,Abram Wagle,20,54,72,63,1
384,Prisha Saini,1,32,72,52,2
385,Krish Bhagat,41,11,50,45.5,1
386,Krish Gill,54,27,24,40.5,2
387,Zoya Butala,64,14,33,48.5,2
388,Yasmin Madan,15,62,53,57.5,1
389,Nayantara Bal,25,73,19,49,2
390,Zaina Bedi,61,57,25,59,1
391,Arhaan Tank,100,34,100,100,1
392,Heer Deshpande,56,20,92,74,1
393,Zoya Soni,78,51,11,64.5,1
394,Ishaan Balasubramanian,40,78,54,66,0
395,Prerak Maharaj,28,4,44,36,2
396,Khushi Madan,30,2,79,54.5,2
397,Ivana Basu,7,30,72,51,2
398,Darshit Warrior,9,28,86,57,2
399,Charvi Bose,35,51,10,43,2
400,Samaira Suri,19,83,48,65.5,1
401,Emir Hegde,71,23,84,77.5,1
402,Indranil Iyer,93,80,26,86.5,1
403,Aaryahi Kurian,61,33,79,70,1
404,Kiara Deo,93,94,24,93.5,1
405,Divij Dhawan,38,71,25,54.5,2
406,Shanaya Dutt,51,13,1,32,2
407,Rati Chakraborty,11,21,82,51.5,2
408,Pranay Thakur,32,26,90,61,2
409,Divyansh Wali,24,25,28,26.5,3
410,Ela Sen,68,14,82,75,1
411,Shanaya Bala,94,14,4,54,2
412,Akarsh Chadha,75,66,49,70.5,0
413,Saira Sandal,86,56,22,71,1
414,Trisha Chahal,30,2,50,40,2
415,Siya Subramaniam,74,43,32,58.5,1
416,Alia Subramanian,70,87,32,78.5,1
417,Mahika Thakkar,37,48,2,42.5,2
418,Ishita Contractor,40,96,13,68,1
419,Purab Baria,36,12,56,46,2
420,Miraan Dua,69,98,31,83.5,1
421,Fateh Dara,12,1,4,8,3
422,Saanvi Venkataraman,39,92,42,67,1
423,Mishti Ramanathan,48,54,40,51,0
424,Neysa Bandi,12,81,42,61.5,1
425,Farhan Shroff,20,47,42,44.5,1
426,Yuvraj  Garg,13,90,50,70,1
427,Yasmin Lad,97,92,35,94.5,1
428,Hunar Keer,95,11,6,53,2
429,Ojas Tiwari,12,12,8,12,3
430,Gokul Thaker,22,49,53,51,1
431,Aarav Kakar,92,0,39,65.5,2
432,Zain Ramakrishnan,79,17,44,61.5,1
433,Shlok Gill,50,100,67,83.5,0
434,Samar Buch,25,68,4,46.5,2
435,Heer Badami,79,20,50,64.5,1
436,Divit Baria,32,26,9,29,3
437,Lavanya Balay,89,93,55,91,0
438,Vidur Kant,74,36,59,66.5,1
439,Sahil Sahota,60,94,76,85,0
440,Shlok Bajaj,33,94,4,63.5,2
441,Pari De,69,31,63,66,1
442,Myra Ratta,72,25,78,75,1
443,Charvi Kulkarni,59,45,63,61,0
444,Ahana  Sehgal,56,35,84,70,1
445,Darshit Bobal,41,15,91,66,1
446,Advika Goyal,29,34,56,45,2
447,Tara Khurana,70,39,29,54.5,2
448,Manikya Datta,1,92,67,79.5,1
449,Ela Sem,26,82,13,54,2
450,Heer Chopra,21,100,71,85.5,1
451,Tarini Mammen,47,7,86,66.5,1
452,Vritika Vasa,55,15,2,35,2
453,Vanya Shan,41,80,93,86.5,0
454,Tushar Tandon,79,24,33,56,2
455,Kashvi Kurian,44,43,99,71.5,0
456,Romil Dey,52,27,21,39.5,2
457,Rania Tandon,25,48,100,74,1
458,Neelofar Singh,15,79,0,47,2
459,Oorja Lad,21,14,26,23.5,3
460,Diya Ray,99,31,89,94,1
461,Tiya Khare,82,34,42,62,1
462,Ela Kurian,36,53,16,44.5,2
463,Jiya Majumdar,86,80,18,83,1
464,Jivika Sachdeva,16,50,79,64.5,1
465,Divit Bhagat,39,54,69,61.5,1
466,Gokul Verma,21,60,27,43.5,2
467,Adira Brahmbhatt,15,68,32,50,2
468,Anay Sandal,56,39,95,75.5,1
469,Aayush Gokhale,68,43,28,55.5,1
470,Saira Ram,5,29,70,49.5,2
471,Jivika Halder,7,26,83,54.5,2
472,Purab Deo,69,98,51,83.5,0
473,Amani Devi,87,79,28,83,1
474,Tarini Goyal,87,3,59,73,1
475,Piya Ravi,9,33,75,54,2
476,Ritvik Comar,94,53,90,92,0
477,Rasha Dugar,48,7,8,28,2
478,Indrajit Sathe,55,34,76,65.5,1
479,Ishaan Dass,59,3,81,70,1
480,Kabir Ramaswamy,46,56,42,51,0
481,Madhup Kibe,49,25,94,71.5,1
482,Divyansh Koshy,64,19,7,41.5,2
483,Tushar Mangal,57,15,77,67,1
484,Arnav Dave,87,72,70,79.5,0
485,Nitara Arora,28,35,39,37,3
486,Nitara Garg,53,45,53,53,0
487,Onkar Bhavsar,51,91,21,71,1
488,Anya Edwin,6,23,15,19,3
489,Hansh Dayal,63,26,91,77,1
490,Amani Mand,35,75,44,59.5,1
491,Kavya Ramakrishnan,96,7,67,81.5,1
492,Jivin Anne,90,89,49,89.5,0
493,Sana Kala,12,38,94,66,2
494,Manjari Din,56,93,98,95.5,0
495,Hiran Mangat,53,10,41,47,1
496,Samar Tripathi,34,68,97,82.5,1
497,Madhav Majumdar,10,61,12,36.5,2
498,Aayush Chana,71,16,70,70.5,1
499,Mahika Tak,54,53,21,53.5,1
500,Zaina Andra,9,18,43,30.5,2
501,Advika Chaudhuri,37,70,48,59,1
502,Neysa Saha,71,68,63,69.5,0
503,Vanya Shroff,4,68,74,71,1
504,Samiha Jain,94,80,82,88,0
505,Adira Shan,15,77,0,46,2
506,Nishith Sodhi,90,28,13,59,2
507,Alisha Hayre,100,34,91,95.5,1
508,Sara Jayaraman,70,11,78,74,1
509,Khushi Shukla,70,22,55,62.5,1
510,Faiyaz Lal,38,9,27,32.5,3
511,Aniruddh Garde,83,86,85,85.5,0
512,Adah Bhat,20,58,76,67,1
513,Anvi Chokshi,17,32,83,57.5,2
514,Ehsaan Goswami,29,82,9,55.5,2
515,Farhan Bhatia,84,4,14,49,2
516,Divit Kadakia,96,73,60,84.5,0
517,Anvi Gole,94,49,25,71.5,1
518,Kartik Deol,90,88,44,89,0
519,Nakul Babu,58,40,3,49,1
520,Vanya Kuruvilla,93,78,68,85.5,0
521,Kabir Bhatia,46,17,42,44,1
522,Arnav Rama,49,17,56,52.5,1
523,Anya Manda,88,39,83,85.5,1
524,Parinaaz Doctor,42,80,11,61,1
525,Rohan Chaudhari,94,61,93,93.5,0
526,Rhea Sarna,78,10,92,85,1
527,Yasmin Sibal,56,1,19,37.5,2
528,Inaaya  Sachdeva,80,88,92,90,0
529,Mohanlal Wagle,14,70,10,42,2
530,Himmat Choudhry,63,50,57,60,0
531,Nehmat Dyal,48,29,20,38.5,2
532,Farhan Chaudhuri,56,79,55,67.5,0
533,Anay Chaudry,72,7,76,74,1
534,Charvi Shukla,62,92,8,77,1
535,Vritika Bala,82,40,1,61,1
536,Pranay Mallick,85,35,61,73,1
537,Anay Thaker,48,93,41,70.5,0
538,Ivana Zachariah,26,79,11,52.5,2
539,Charvi Iyengar,94,27,63,78.5,1
540,Kiaan Jaggi,83,87,72,85,0
541,Siya Kulkarni,86,57,8,71.5,1
542,Jiya Sastry,100,83,76,91.5,0
543,Inaaya  Grover,12,66,39,52.5,2
544,Dhanuk Magar,44,66,11,55,1
545,Tara Bhardwaj,7,74,58,66,1
546,Jiya Bal,10,76,26,51,2
547,Hunar Kaul,32,90,37,63.5,2
548,Dharmajan Ratta,47,85,23,66,1
549,Shray Solanki,42,17,6,29.5,2
550,Lakshay Wagle,78,14,27,52.5,2
551,Damini Sarkar,82,41,45,63.5,0
552,Kabir Garg,70,37,10,53.5,2
553,Badal Upadhyay,99,61,33,80,1
554,Emir Keer,50,47,23,48.5,1
555,Priyansh Raj,67,74,45,70.5,0
556,Siya Aurora,52,31,67,59.5,1
557,Vritika Kapur,8,4,8,8,3
558,Chirag Sarraf,17,84,86,85,1
559,Veer Kulkarni,75,11,15,45,2
560,Akarsh Ganesan,0,35,23,29,3
561,Zaina Edwin,61,61,73,67,0
562,Shanaya Krishnan,79,17,82,80.5,1
563,Kimaya Loke,35,83,77,80,1
564,Bhamini Manda,44,38,25,41,2
565,Indranil Ramachandran,20,38,99,68.5,2
566,Fateh Keer,6,48,5,27,2
567,Elakshi Devan,5,30,47,38.5,2
568,Aayush Jani,87,26,21,56.5,2
569,Trisha Tak,48,72,33,60,1
570,Nirvi Ganguly,27,72,58,65,1
571,Sumer Desai,32,6,36,34,3
572,Nakul Tella,51,59,34,55,1
573,Saira Chadha,16,17,67,42,2
574,Nitara Rao,97,53,69,83,0
575,Ivan Tara,88,10,4,49,2
576,Aarush Bobal,62,42,11,52,1
577,Parinaaz Hayer,50,63,27,56.5,1
578,Rania Chaudhry,43,35,71,57,1
579,Bhamini Biswas,70,88,78,83,0
580,Ritvik Kota,41,35,33,38,2
581,Mannat Mammen,18,27,92,59.5,2
582,Pari Vasa,33,67,55,61,1
583,Kanav Manne,87,5,26,56.5,2
584,Raunak Sachdev,74,55,60,67,0
585,Jhanvi Seshadri,6,2,33,19.5,3
586,Myra Balan,55,80,78,79,0
587,Samarth Bora,28,4,86,57,2
588,Kavya Varghese,72,2,27,49.5,2
589,Hiran Dutt,89,85,34,87,1
590,Kaira Lala,55,7,60,57.5,1
591,Armaan Sastry,7,36,61,48.5,2
592,Vardaniya Kannan,79,91,53,85,0
593,Devansh Seshadri,67,14,27,47,2
594,Mannat Grewal,29,38,74,56,2
595,Purab Suresh,82,13,46,64,1
596,Mannat Sanghvi,41,36,1,38.5,2
597,Shaan Arora,15,0,65,40,2
598,Tejas Konda,73,61,86,79.5,0
599,Tiya Sengupta,78,87,87,87,0
600,Tejas Shah,73,86,86,86,0
601,Myra Suri,65,18,0,41.5,2
602,Adira Bawa,55,59,56,57.5,0
603,Nirvi Sawhney,80,19,89,84.5,1
604,Anaya Dubey,77,89,55,83,0
605,Siya Kata,94,4,8,51,2
606,Yakshit Sani,3,51,22,36.5,2
607,Rati Bir,77,80,14,78.5,1
608,Farhan Taneja,5,5,86,45.5,2
609,Umang Dugar,45,72,16,58.5,1
610,Piya Tailor,87,97,100,98.5,0
611,Samaira Madan,76,86,88,87,0
612,Tejas Bajwa,44,44,37,44,1
613,Vivaan Sengupta,75,43,82,78.5,0
614,Eshani Sachdeva,32,89,87,88,1
615,Jayan Tiwari,13,75,2,44,2
616,Abram Sarraf,87,42,45,66,0
617,Tara Garg,44,72,100,86,0
618,Khushi Rama,27,65,95,80,1
619,Dhanuk Kar,25,78,11,51.5,2
620,Aaina Sandhu,35,65,58,61.5,1
621,Eva Bhargava,58,81,54,69.5,0
622,Dishani Kuruvilla,96,81,49,88.5,0
623,Prerak Buch,82,55,99,90.5,0
624,Rati Mani,8,17,13,15,3
625,Elakshi Konda,15,8,80,47.5,2
626,Nishith Chakraborty,45,3,79,62,1
627,Urvi Gulati,45,6,32,38.5,2
628,Arnav Bal,47,23,43,45,1
629,Krish Chokshi,28,44,66,55,1
630,Tanya Sibal,60,11,30,45,2
631,Yuvaan Kara,38,21,73,55.5,2
632,Gokul Dayal,49,70,53,61.5,0
