Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
64,Baiju Kapur,67,39,19,53,2
65,Romil Ram,80,91,20,85.5,1
66,Nitara Lanka,59,37,85,72,1
67,Kabir Balakrishnan,10,32,28,30,3
68,Parinaaz Gulati,10,17,81,49,2
69,Anvi Bandi,26,18,32,29,3
70,Mahika Sankaran,61,43,32,52,1
71,Nirvaan Dasgupta,83,20,66,74.5,1
72,Aaina Ganesan,60,93,58,76.5,0
73,Sumer D’Alia,0,93,26,59.5,2
74,Darshit Setty,1,80,16,48,2
75,Pihu Krish,24,76,47,61.5,1
76,Anya Lala,33,92,40,66,1
77,Suhana Wali,99,19,27,63,2
78,Prisha Gour,28,53,47,50,1
79,Zoya Dara,96,98,24,97,1
80,Zeeshan Mangal,63,6,5,34.5,2
81,Lakshay Gaba,91,24,8,57.5,2
82,Vardaniya Tara,94,44,38,69,1
83,Akarsh Bhat,53,31,53,53,1
84,Raunak Chanda,97,50,12,73.5,1
85,Anaya Bala,20,30,53,41.5,2
86,Yashvi Sule,39,93,59,76,1
87,Dhanush Singhal,61,5,95,78,1
88,Dhanush Chander,83,87,42,85,0
89,Ahana  Babu,18,64,15,41,2
90,Myra Soman,2,61,52,56.5,1
91,Zara Vyas,24,3,66,45,2
92,Indrans Brar,33,92,13,62.5,2
93,Emir Kumer,76,74,89,82.5,0
94,Tushar Seshadri,84,24,43,63.5,1
95,Ivan Samra,23,93,51,72,1
96,Oorja Bhattacharyya,48,3,22,35,2
97,Neelofar Vohra,73,85,9,79,1
98,Vidur Tandon,17,95,32,63.5,2
99,Charvi Seth,94,89,13,91.5,1
100,Samar Bhasin,96,13,43,69.5,1
101,Elakshi Kaur,48,67,19,57.5,1
102,Saira Comar,58,86,3,72,1
103,Nitya Sunder,61,9,36,48.5,2
104,Ranbir Gaba,85,19,3,52,2
105,Himmat Wadhwa,5,23,89,56,2
106,Heer Dugar,11,35,78,56.5,2
107,Arnav Date,86,47,44,66.5,0
108,Hansh Sarkar,40,97,23,68.5,1
109,Biju Sarraf,54,4,6,30,2
110,Aarna Jha,77,0,87,82,1
111,Fateh Varughese,48,22,63,55.5,1
112,Riya Mandal,18,16,22,20,3
113,Tushar Mangat,14,53,97,75,1
114,Mannat D’Alia,9,34,80,57,2
115,Kiara Mahajan,84,67,31,75.5,1
116,Eshani Bajaj,41,63,17,52,1
117,Ehsaan Das,93,12,13,53,2
118,Ishita Bassi,27,98,10,62.5,2
119,Oorja Vohra,99,79,15,89,1
120,Veer Kata,11,48,37,42.5,2
121,Ojas Raj,80,84,93,88.5,0
122,Gatik Doctor,50,35,59,54.5,1
123,Indrajit Ghosh,39,88,8,63.5,2
124,Mamooty Ganesan,14,59,65,62,1
125,Yuvraj  Bhatt,71,73,93,83,0
126,Aaina Dara,1,12,14,13,3
127,Raghav Dass,88,25,87,87.5,1
128,Nayantara Batta,7,28,9,18.5,3
129,Devansh Dewan,68,83,53,75.5,0
130,Samiha Swamy,84,35,71,77.5,1
131,Jayesh Goyal,57,37,70,63.5,1
132,Alisha Sura,84,79,26,81.5,1
133,Pihu Agarwal,18,85,33,59,2
134,Vivaan Borra,1,39,21,30,3
135,Rohan Ahluwalia,4,59,88,73.5,1
136,Hridaan Karan,11,11,88,49.5,2
137,Samiha Bawa,34,55,81,68,1
138,Tarini Srinivas,74,26,24,50,2
139,Kabir Vasa,46,88,89,88.5,0
140,Sahil Kunda,38,97,25,67.5,2
141,Kaira Vig,40,87,7,63.5,1
142,Kiara Verma,36,66,35,51,2
143,Yakshit Baral,71,6,59,65,1
144,Arnav Iyengar,18,95,57,76,1
145,Biju Dutt,11,98,64,81,1
146,Tara Walla,20,6,0,13,3
147,Sahil Aggarwal,49,21,71,60,1
148,Zaina Sarraf,53,80,0,66.5,1
149,Anahita Kala,69,78,69,73.5,0
150,Umang Barman,4,91,83,87,1
151,Vihaan Bahl,8,58,89,73.5,1
152,Riya Jain,27,83,2,55,2
153,Adah Varty,55,7,76,65.5,1
154,Nishith Keer,63,0,100,81.5,1
155,Veer Ratti,81,77,53,79,0
156,Vivaan Bhatia,49,20,4,34.5,2
157,Saira Talwar,16,98,20,59,2
158,Emir Gopal,44,9,61,52.5,1
159,Fateh Dhingra,18,31,93,62,2
160,Rhea Sani,58,89,20,73.5,1
161,Vivaan Dora,42,31,5,36.5,2
162,Uthkarsh Keer,99,17,43,71,1
163,Anay Kale,64,93,45,78.5,0
164,Ahana  Gupta,2,25,84,54.5,2
165,Taran Korpal,88,35,25,61.5,2
166,Prerak Ganguly,32,32,6,32,3
167,Arnav Salvi,92,56,28,74,1
168,Aradhya Hans,7,76,17,46.5,2
169,Myra Ghosh,58,37,70,64,1
170,Tiya Upadhyay,63,91,17,77,1
171,Vivaan Yadav,38,72,95,83.5,1
172,Hazel Sanghvi,51,90,54,72,0
173,Oorja Chand,44,9,2,26.5,2
174,Saanvi Batta,7,27,76,51.5,2
175,Ishita Agate,18,22,19,20.5,3
176,Sahil Sangha,61,0,41,51,1
177,Vivaan Trivedi,37,78,19,57.5,2
178,Kanav Sarraf,58,61,64,62.5,0
179,Eva Choudhry,29,63,13,46,2
180,Anay Atwal,88,47,89,88.5,0
181,Hansh Tara,44,11,33,38.5,2
182,Dhruv Sandal,91,93,20,92,1
183,Purab Uppal,35,9,11,23,3
184,Ojas Choudhary,99,12,79,89,1
185,Aniruddh Singhal,73,38,78,75.5,1
186,Hansh Salvi,97,33,100,98.5,1
187,Vidur Walla,38,66,72,69,1
188,Zaina Dubey,23,77,41,59,1
189,Yasmin Date,45,46,14,45.5,1
190,Zoya Ranganathan,3,44,82,63,1
191,Baiju Agrawal,42,45,36,43.5,1
192,Anahita Kant,28,85,58,71.5,1
193,Lakshay Trivedi,34,60,68,64,1
194,Devansh Arya,82,80,12,81,1
195,Charvi Sachdev,35,55,16,45,2
196,Vanya Vala,32,10,66,49,2
197,Saksham Bose,72,31,5,51.5,2
198,Divyansh Lata,49,2,91,70,1
199,Anahi Mand,42,61,97,79,0
200,Anya Ganesh,0,45,53,49,1
201,Akarsh Sani,81,82,40,81.5,0
202,Ehsaan Deo,50,43,73,61.5,0
203,Yasmin Chahal,36,91,41,66,1
204,Taran Kumer,22,26,51,38.5,2
205,Ayesha Yadav,13,80,22,51,2
206,Vaibhav Gade,39,10,38,38.5,3
207,Aarav Ganguly,96,50,95,95.5,0
208,Sahil Tripathi,9,97,13,55,2
209,Krish Sarkar,100,51,75,87.5,0
210,Taimur Thakkar,60,44,1,52,1
211,Nirvi Sankaran,5,13,9,11,3
212,Vidur Sarraf,96,82,2,89,1
213,Renee Agarwal,94,33,40,67,1
214,Rhea Chander,67,5,4,36,2
215,Samar Anand,18,91,1,54.5,2
216,Anya Sahota,10,85,74,79.5,1
217,Vidur Dugar,43,42,47,45,0
218,Rati Bains,6,61,78,69.5,1
219,Ira Gola,80,29,17,54.5,2
220,Chirag Barad,41,68,24,54.5,1
221,Ela Kaur,41,17,41,41,1
222,Bhavin Swamy,99,41,61,80,0
223,Alia Banik,15,0,41,28,2
224,Pari Balakrishnan,48,85,39,66.5,1
225,Amira Arora,9,42,18,30,2
226,Bhavin Bose,31,97,26,64,2
227,Pihu Lata,63,40,34,51.5,1
228,Raghav Soman,12,57,13,35,2
229,Eshani Lall,33,99,69,84,1
230,Rati Bassi,16,25,45,35,2
231,Emir Sibal,36,49,12,42.5,2
232,Trisha Sane,40,27,57,48.5,1
233,Lavanya Edwin,13,63,77,70,1
234,Kiaan Hayre,78,65,74,76,0
235,Mishti Mand,42,30,58,50,1
236,Advik Sanghvi,90,42,69,79.5,0
237,Nayantara Subramanian,92,74,4,83,1
238,Aarush Sahota,39,67,43,55,1
239,Rania Dar,35,74,28,54.5,2
240,Uthkarsh Mandal,26,24,56,41,2
241,Ela Tata,73,27,98,85.5,1
242,Arnav Sankaran,24,23,56,40,2
243,Vivaan Aggarwal,32,9,72,52,2
244,Chirag Saxena,22,85,98,91.5,1
245,Shanaya Korpal,0,58,34,46,2
246,Siya Grewal,63,78,86,82,0
247,Reyansh Chawla,26,67,68,67.5,1
248,Hrishita Deshmukh,100,55,3,77.5,1
249,Riya Bhatia,93,100,49,96.5,0
250,Armaan Agrawal,61,66,5,63.5,1
251,Eva Master,49,15,64,56.5,1
252,Rania Loyal,12,2,39,25.5,3
253,Gatik Vala,35,27,54,44.5,2
254,Mishti Zacharia,87,66,62,76.5,0
255,Emir Sachar,10,31,2,20.5,3
256,Inaaya  Bhavsar,98,95,10,96.5,1
257,Divyansh Kaul,13,52,7,32.5,2
258,Shanaya Seshadri,92,71,58,81.5,0
259,Aarav Sengupta,14,35,17,26,3
260,Dhanuk Behl,0,86,15,50.5,2
261,Ivan Grewal,77,73,85,81,0
262,Samiha Kapoor,40,99,66,82.5,0
263,Kabir Ghose,20,97,22,59.5,2
264,Renee Vasa,35,58,51,54.5,1
265,Hunar Bal,12,13,93,53,2
266,Tejas Kale,37,97,52,74.5,1
267,Aradhya Agarwal,23,25,53,39,2
268,Baiju Arya,100,8,74,87,1
269,Nishith Soni,90,94,46,92,0
270,Taimur Keer,54,57,28,55.5,1
271,Nitya Anne,100,69,1,84.5,1
272,Saanvi Wable,100,45,89,94.5,0
273,Abram Kurian,9,79,13,46,2
274,Rohan Sangha,46,78,15,62,1
275,Saksham Sarna,4,34,73,53.5,2
276,Jayant Keer,86,83,94,90,0
277,Tiya Chopra,35,84,60,72,1
278,Adah Kar,33,20,22,27.5,3
279,Misha Gupta,85,75,70,80,0
280,Divij Choudhry,71,69,82,76.5,0
281,Jayesh Goswami,9,65,55,60,1
282,Kartik Mandal,79,57,32,68,1
283,Lakshay Deshpande,78,87,8,82.5,1
284,Vidur Babu,6,4,63,34.5,2
285,Seher Badal,28,100,74,87,1
286,Piya Virk,10,65,9,37.5,2
287,Amira Batta,40,2,33,36.5,2
288,Vidur Mangal,9,16,79,47.5,2
289,Mehul Grover,52,22,9,37,2
290,Aarush Sridhar,69,12,90,79.5,1
291,Ishita Biswas,94,73,24,83.5,1
292,Ishaan Bhandari,48,46,65,56.5,0
293,Nehmat Bakshi,14,39,43,41,2
294,Pihu Hayre,63,63,71,67,0
295,Akarsh Ranganathan,47,85,74,79.5,0
296,Ayesha Chhabra,5,24,69,46.5,2
297,Purab Cheema,52,63,81,72,0
298,Vedika Tandon,16,0,4,10,3
299,Aaryahi Chokshi,30,79,92,85.5,1
300,Saira Raju,53,21,15,37,2
301,Alisha Kant,69,36,69,69,1
302,Inaaya  Chadha,73,74,44,73.5,0
303,Nehmat Kulkarni,0,40,19,29.5,2
304,Samarth Bora,30,39,38,38.5,3
305,Vritika Sem,86,54,92,89,0
306,Nitara Salvi,66,35,2,50.5,2
307,Anika Dar,60,26,91,75.5,1
308,Darshit Sama,65,30,42,53.5,1
309,Aarna Mani,85,71,9,78,1
310,Suhana Rajan,78,12,21,49.5,2
311,Vidur Subramaniam,96,61,68,82,0
312,Abram Manda,10,99,30,64.5,2
313,Ritvik Hari,67,94,29,80.5,1
314,Anahita Mand,47,44,32,45.5,1
315,Mehul Bala,40,29,22,34.5,2
316,Vihaan Savant,15,70,35,52.5,2
317,Tanya Sarna,71,68,100,85.5,0
318,Shamik Toor,83,75,42,79,0
319,Samarth Sarraf,84,24,83,83.5,1
320,Shray Contractor,94,85,77,89.5,0
321,Miraan Gill,27,97,53,75,1
322,Lakshay Handa,63,42,32,52.5,1
323,Dhanush Manda,6,92,95,93.5,1
324,Yashvi Das,37,21,48,42.5,2
325,Vaibhav Jaggi,27,100,58,79,1
326,Uthkarsh Bhardwaj,73,26,73,73,1
327,Tara Kaur,74,1,85,79.5,1
328,Manikya Master,88,81,33,84.5,1
329,Armaan Salvi,57,57,6,57,1
330,Chirag Hari,12,38,96,67,2
331,Yuvraj  Ravi,56,62,76,69,0
332,Akarsh Kalita,63,19,78,70.5,1
333,Krish Dutta,18,19,7,18.5,3
334,Myra Wable,29,52,6,40.5,2
335,Shalv Golla,70,31,73,71.5,1
336,Advika Shenoy,76,90,36,83,1
337,Sara Mangal,79,53,86,82.5,0
338,Himmat Thaman,23,1,88,55.5,2
339,Nakul Warrior,43,12,25,34,2
340,Kabir Sharaf,60,27,78,69,1
341,Badal Dhingra,45,92,68,80,0
342,Prerak Ahluwalia,59,81,49,70,0
343,Ishita Dayal,32,43,72,57.5,1
344,Kashvi Guha,45,87,52,69.5,0
345,Mannat Kaur,92,33,51,71.5,1
346,Anahita Kakar,56,66,92,79,0
347,Purab Deo,87,41,79,83,0
348,Miraya Dora,39,85,74,79.5,1
349,Ojas Bawa,70,63,4,66.5,1
350,Shalv Chakrabarti,32,1,66,49,2
351,Miraya Reddy,14,57,12,35.5,2
352,Chirag Kapur,13,14,26,20,3
353,Miraan Mandal,2,71,52,61.5,1
354,Prerak Garde,27,57,12,42,2
355,Tarini Bansal,74,42,75,74.5,0
356,Amani Dhingra,66,35,46,56,1
357,Riya Raja,77,77,48,77,0
358,Nishith Edwin,0,73,49,61,1
359,Pihu Andra,86,86,78,86,0
360,Myra Tailor,29,73,95,84,1
361,Sana Mahal,48,62,89,75.5,0
362,Vedika Sant,75,58,80,77.5,0
363,Azad Savant,40,25,34,37,2
364,Rhea Kant,79,1,25,52,2
365,Yuvraj  Ravel,0,73,94,83.5,1
366,Sara Kakar,61,0,32,46.5,2
367,Eva Issac,93,10,72,82.5,1
368,Lakshit Sachar,4,98,58,78,1
369,Shlok Mammen,70,18,15,44,2
370,Aniruddh Kurian,49,86,55,70.5,0
371,Kiara Baral,46,9,7,27.5,2
372,Kabir Ramanathan,92,70,12,81,1
373,Indrans Agarwal,35,58,57,57.5,1
374,Dhruv Kade,19,89,82,85.5,1
375,Kartik Aurora,34,68,96,82,1
376,Stuvan Chauhan,62,52,24,57,1
377,Keya Tiwari,61,43,75,68,0
378,Nishith Chaudry,5,20,10,15,3
379,Ehsaan Mangal,78,56,93,85.5,0
380,Kismat Ganesan,88,47,94,91,0
381,Ishaan Korpal,32,91,60,75.5,1
382,Siya Mangal,36,85,74,79.5,1
383,Abram Wagle,96,35,87,91.5,1
384,Prisha Saini,100,36,38,69,2
385,Krish Bhagat,41,22,15,31.5,2
386,Krish Gill,47,67,54,60.5,0
387,Zoya Butala,59,52,97,78,0
388,Yasmin Madan,57,51,55,56,0
389,Nayantara Bal,31,3,62,46.5,2
390,Zaina Bedi,71,74,35,72.5,1
391,Arhaan Tank,4,51,65,58,1
392,Heer Deshpande,9,13,77,45,2
393,Zoya Soni,24,23,72,48,2
394,Ishaan Balasubramanian,34,43,12,38.5,2
395,Prerak Maharaj,51,73,65,69,0
396,Khushi Madan,69,35,10,52,2
397,Ivana Basu,59,64,62,63,0
398,Darshit Warrior,39,32,42,40.5,2
399,Charvi Bose,78,20,78,78,1
400,Samaira Suri,20,66,92,79,1
401,Emir Hegde,85,91,34,88,1
402,Indranil Iyer,89,14,20,54.5,2
403,Aaryahi Kurian,60,64,20,62,1
404,Kiara Deo,69,44,62,65.5,0
405,Divij Dhawan,74,35,46,60,1
406,Shanaya Dutt,74,25,23,49.5,2
407,Rati Chakraborty,17,11,98,57.5,2
408,Pranay Thakur,94,80,59,87,0
409,Divyansh Wali,87,84,65,85.5,0
410,Ela Sen,9,66,23,44.5,2
411,Shanaya Bala,95,78,44,86.5,0
412,Akarsh Chadha,86,74,35,80,1
413,Saira Sandal,67,17,78,72.5,1
414,Trisha Chahal,42,46,63,54.5,0
415,Siya Subramaniam,49,69,26,59,1
416,Alia Subramanian,0,20,88,54,2
417,Mahika Thakkar,42,35,67,54.5,1
418,Ishita Contractor,52,51,60,56,0
419,Purab Baria,43,82,9,62.5,1
420,Miraan Dua,33,73,70,71.5,1
421,Fateh Dara,73,52,29,62.5,1
422,Saanvi Venkataraman,17,47,5,32,2
423,Mishti Ramanathan,16,40,14,28,2
424,Neysa Bandi,28,69,40,54.5,1
425,Farhan Shroff,65,12,62,63.5,1
426,Yuvraj  Garg,30,56,9,43,2
427,Yasmin Lad,93,70,20,81.5,1
428,Hunar Keer,93,32,51,72,1
429,Ojas Tiwari,7,97,38,67.5,2
430,Gokul Thaker,65,58,50,61.5,0
431,Aarav Kakar,60,98,42,79,0
432,Zain Ramakrishnan,33,10,58,45.5,2
433,Shlok Gill,77,30,80,78.5,1
434,Samar Buch,64,65,50,64.5,0
435,Heer Badami,0,58,59,58.5,1
436,Divit Baria,98,49,60,79,0
437,Lavanya Balay,85,37,89,87,1
438,Vidur Kant,74,43,97,85.5,0
439,Sahil Sahota,100,86,66,93,0
440,Shlok Bajaj,8,5,74,41,2
441,Pari De,70,20,38,54,2
442,Myra Ratta,41,1,42,41.5,1
443,Charvi Kulkarni,58,5,0,31.5,2
444,Ahana  Sehgal,45,61,83,72,0
445,Darshit Bobal,23,26,94,60,2
446,Advika Goyal,8,64,5,36,2
447,Tara Khurana,30,37,78,57.5,2
448,Manikya Datta,89,63,17,76,1
449,Ela Sem,23,15,42,32.5,2
450,Heer Chopra,72,23,32,52,2
451,Tarini Mammen,93,34,71,82,1
452,Vritika Vasa,39,80,90,85,1
453,Vanya Shan,12,8,95,53.5,2
454,Tushar Tandon,50,99,27,74.5,1
455,Kashvi Kurian,99,98,86,98.5,0
456,Romil Dey,42,5,94,68,1
457,Rania Tandon,5,42,20,31,2
458,Neelofar Singh,78,2,93,85.5,1
459,Oorja Lad,7,20,86,53,2
460,Diya Ray,12,89,29,59,2
461,Tiya Khare,2,3,94,48.5,2
462,Ela Kurian,17,80,32,56,2
463,Jiya Majumdar,76,51,33,63.5,1
464,Jivika Sachdeva,42,26,100,71,1
465,Divit Bhagat,25,38,61,49.5,2
466,Gokul Verma,95,10,6,52.5,2
467,Adira Brahmbhatt,57,88,87,87.5,0
468,Anay Sandal,58,77,21,67.5,1
469,Aayush Gokhale,92,89,3,90.5,1
470,Saira Ram,72,33,53,62.5,1
471,Jivika Halder,10,23,98,60.5,2
472,Purab Deo,47,31,87,67,1
473,Amani Devi,40,19,86,63,1
474,Tarini Goyal,19,3,63,41,2
475,Piya Ravi,19,58,73,65.5,1
476,Ritvik Comar,13,64,82,73,1
477,Rasha Dugar,38,49,5,43.5,2
478,Indrajit Sathe,54,15,99,76.5,1
479,Ishaan Dass,92,74,42,83,0
480,Kabir Ramaswamy,34,30,49,41.5,2
481,Madhup Kibe,99,49,88,93.5,0
482,Divyansh Koshy,45,82,80,81,0
483,Tushar Mangal,74,48,80,77,0
484,Arnav Dave,51,7,10,30.5,2
485,Nitara Arora,7,10,17,13.5,3
486,Nitara Garg,39,60,71,65.5,1
487,Onkar Bhavsar,17,61,41,51,1
488,Anya Edwin,36,34,20,35,3
489,Hansh Dayal,42,93,45,69,0
490,Amani Mand,29,75,75,75,1
491,Kavya Ramakrishnan,12,26,33,29.5,3
492,Jivin Anne,15,91,15,53,2
493,Sana Kala,30,54,43,48.5,1
494,Manjari Din,56,51,99,77.5,0
495,Hiran Mangat,100,92,83,96,0
496,Samar Tripathi,63,55,88,75.5,0
497,Madhav Majumdar,96,52,10,74,1
498,Aayush Chana,90,9,96,93,1
499,Mahika Tak,66,0,46,56,1
500,Zaina Andra,35,89,41,65,1
501,Advika Chaudhuri,4,80,27,53.5,2
502,Neysa Saha,90,58,48,74,0
503,Vanya Shroff,52,20,42,47,1
504,Samiha Jain,43,13,20,31.5,2
505,Adira Shan,77,27,84,80.5,1
506,Nishith Sodhi,61,18,13,39.5,2
507,Alisha Hayre,44,46,72,59,0
508,Sara Jayaraman,41,55,90,72.5,0
509,Khushi Shukla,57,69,67,68,0
510,Faiyaz Lal,34,14,14,24,3
511,Aniruddh Garde,23,33,19,28,3
512,Adah Bhat,90,29,80,85,1
513,Anvi Chokshi,0,77,4,40.5,2
514,Ehsaan Goswami,29,21,35,32,3
515,Farhan Bhatia,78,23,70,74,1
516,Divit Kadakia,23,13,36,29.5,3
517,Anvi Gole,9,26,64,45,2
518,Kartik Deol,88,86,14,87,1
519,Nakul Babu,16,77,70,73.5,1
520,Vanya Kuruvilla,64,87,2,75.5,1
521,Kabir Bhatia,60,41,76,68,0
522,Arnav Rama,45,89,53,71,0
523,Anya Manda,81,54,64,72.5,0
524,Parinaaz Doctor,65,33,76,70.5,1
525,Rohan Chaudhari,42,89,93,91,0
526,Rhea Sarna,34,22,87,60.5,2
527,Yasmin Sibal,17,13,37,27,3
528,Inaaya  Sachdeva,12,48,85,66.5,1
529,Mohanlal Wagle,8,45,4,26.5,2
530,Himmat Choudhry,42,99,8,70.5,1
531,Nehmat Dyal,63,16,88,75.5,1
532,Farhan Chaudhuri,23,35,45,40,2
533,Anay Chaudry,23,35,9,29,3
534,Charvi Shukla,74,40,2,57,1
535,Vritika Bala,62,83,91,87,0
536,Pranay Mallick,35,18,31,33,3
537,Anay Thaker,59,38,77,68,1
538,Ivana Zachariah,81,6,90,85.5,1
539,Charvi Iyengar,93,80,12,86.5,1
540,Kiaan Jaggi,63,56,38,59.5,1
541,Siya Kulkarni,36,44,31,40,2
542,Jiya Sastry,46,46,99,72.5,0
543,Inaaya  Grover,45,57,42,51,0
544,Dhanuk Magar,19,86,31,58.5,2
545,Tara Bhardwaj,35,48,98,73,1
546,Jiya Bal,66,100,12,83,1
547,Hunar Kaul,49,18,60,54.5,1
548,Dharmajan Ratta,19,33,79,56,2
549,Shray Solanki,30,20,89,59.5,2
550,Lakshay Wagle,26,78,42,60,1
551,Damini Sarkar,49,96,44,72.5,0
552,Kabir Garg,99,3,66,82.5,1
553,Badal Upadhyay,62,51,99,80.5,0
554,Emir Keer,47,17,12,32,2
555,Priyansh Raj,100,91,4,95.5,1
556,Siya Aurora,17,37,3,27,3
557,Vritika Kapur,82,77,96,89,0
558,Chirag Sarraf,75,83,84,83.5,0
559,Veer Kulkarni,83,91,50,87,0
560,Akarsh Ganesan,31,43,74,58.5,1
561,Zaina Edwin,2,32,53,42.5,2
562,Shanaya Krishnan,25,39,23,32,3
563,Kimaya Loke,39,39,81,60,2
564,Bhamini Manda,5,22,37,29.5,3
565,Indranil Ramachandran,61,27,85,73,1
566,Fateh Keer,47,33,85,66,1
567,Elakshi Devan,52,22,65,58.5,1
568,Aayush Jani,92,5,40,66,1
569,Trisha Tak,54,73,70,71.5,0
570,Nirvi Ganguly,44,6,12,28,2
571,Sumer Desai,63,64,38,63.5,1
572,Nakul Tella,51,92,41,71.5,0
573,Saira Chadha,87,58,66,76.5,0
574,Nitara Rao,73,70,57,71.5,0
575,Ivan Tara,71,38,16,54.5,2
576,Aarush Bobal,20,31,98,64.5,2
577,Parinaaz Hayer,20,52,34,43,2
578,Rania Chaudhry,3,90,73,81.5,1
579,Bhamini Biswas,52,71,13,61.5,1
580,Ritvik Kota,64,8,69,66.5,1
581,Mannat Mammen,88,20,60,74,1
582,Pari Vasa,54,59,66,62.5,0
583,Kanav Manne,47,32,79,63,1
584,Raunak Sachdev,56,27,7,41.5,2
585,Jhanvi Seshadri,88,99,51,93.5,0
586,Myra Balan,87,36,38,62.5,2
587,Samarth Bora,52,39,54,53,1
588,Kavya Varghese,66,89,76,82.5,0
589,Hiran Dutt,69,45,46,57.5,0
590,Kaira Lala,57,70,94,82,0
591,Armaan Sastry,56,12,6,34,2
592,Vardaniya Kannan,64,47,55,59.5,0
593,Devansh Seshadri,5,98,4,51.5,2
594,Mannat Grewal,99,75,79,89,0
595,Purab Suresh,20,91,49,70,1
596,Mannat Sanghvi,21,48,40,44,1
597,Shaan Arora,86,53,64,75,0
598,Tejas Konda,72,74,47,73,0
599,Tiya Sengupta,10,87,28,57.5,2
600,Tejas Shah,85,63,92,88.5,0
601,Myra Suri,26,81,79,80,1
602,Adira Bawa,84,37,3,60.5,2
603,Nirvi Sawhney,15,78,5,46.5,2
604,Anaya Dubey,5,95,21,58,2
605,Siya Kata,68,56,84,76,0
606,Yakshit Sani,54,100,27,77,1
607,Rati Bir,87,48,98,92.5,0
608,Farhan Taneja,89,53,34,71,1
609,Umang Dugar,20,0,55,37.5,2
610,Piya Tailor,40,4,78,59,1
611,Samaira Madan,19,32,43,37.5,2
612,Tejas Bajwa,13,14,18,16,3
613,Vivaan Sengupta,81,59,41,70,0
614,Eshani Sachdeva,76,39,53,64.5,1
615,Jayan Tiwari,20,79,60,69.5,1
616,Abram Sarraf,82,16,19,50.5,2
617,Tara Garg,42,58,74,66,0
618,Khushi Rama,63,93,94,93.5,0
619,Dhanuk Kar,37,52,60,56,1
620,Aaina Sandhu,50,79,0,64.5,1
621,Eva Bhargava,70,59,11,64.5,1
622,Dishani Kuruvilla,87,85,40,86,0
623,Prerak Buch,57,8,76,66.5,1
624,Rati Mani,73,12,23,48,2
625,Elakshi Konda,8,35,89,62,2
626,Nishith Chakraborty,57,25,51,54,1
627,Urvi Gulati,58,12,9,35,2
628,Arnav Bal,9,5,14,11.5,3
629,Krish Chokshi,26,74,54,64,1
630,Tanya Sibal,0,28,21,24.5,3
631,Yuvaan Kara,7,66,65,65.5,1
