Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
60,Armaan Khare,67,29,69,68,1
61,Veer Ratti,74,78,11,76,1
62,Kiara Ram,5,86,2,45.5,2
63,Ishaan Deep,25,4,22,23.5,3
64,Baiju Kapur,14,11,22,18,3
65,Romil Ram,27,23,2,25,3
66,Nitara Lanka,16,35,50,42.5,2
67,Kabir Balakrishnan,61,97,86,91.5,0
68,Parinaaz Gulati,61,31,58,59.5,1
69,Anvi Bandi,23,18,71,47,2
70,Mahika Sankaran,62,5,91,76.5,1
71,Nirvaan Dasgupta,34,63,95,79,1
72,Aaina Ganesan,52,40,15,46,1
73,Sumer D’Alia,64,17,94,79,1
74,Darshit Setty,66,25,65,65.5,1
75,Pihu Krish,61,19,75,68,1
76,Anya Lala,96,95,47,95.5,0
77,Suhana Wali,77,66,83,80,0
78,Prisha Gour,94,72,46,83,0
79,Zoya Dara,64,54,26,59,1
80,Zeeshan Mangal,74,1,44,59,1
81,Lakshay Gaba,76,28,12,52,2
82,Vardaniya Tara,77,6,14,45.5,2
83,Akarsh Bhat,27,92,69,80.5,1
84,Raunak Chanda,51,23,44,47.5,1
85,Anaya Bala,71,23,59,65,1
86,Yashvi Sule,28,12,25,26.5,3
87,Dhanush Singhal,51,12,44,47.5,1
88,Dhanush Chander,31,9,52,41.5,2
89,Ahana  Babu,13,33,82,57.5,2
90,Myra Soman,11,24,45,34.5,2
91,Zara Vyas,54,1,33,43.5,2
92,Indrans Brar,92,95,12,93.5,1
93,Emir Kumer,52,94,31,73,1
94,Tushar Seshadri,3,9,95,52,2
95,Ivan Samra,32,85,77,81,1
96,Oorja Bhattacharyya,15,51,41,46,1
97,Neelofar Vohra,19,94,17,56.5,2
98,Vidur Tandon,0,27,44,35.5,2
99,Charvi Seth,35,23,96,65.5,2
100,Samar Bhasin,34,42,79,60.5,1
101,Elakshi Kaur,95,55,89,92,0
102,Saira Comar,36,11,43,39.5,2
103,Nitya Sunder,5,17,18,17.5,3
104,Ranbir Gaba,95,8,56,75.5,1
105,Himmat Wadhwa,62,51,69,65.5,0
106,Heer Dugar,99,67,26,83,1
107,Arnav Date,79,53,11,66,1
108,Hansh Sarkar,9,74,52,63,1
109,Biju Sarraf,92,16,22,57,2
110,Aarna Jha,31,61,75,68,1
111,Fateh Varughese,61,58,62,61.5,0
112,Riya Mandal,80,41,11,60.5,1
113,Tushar Mangat,30,30,61,45.5,2
114,Mannat D’Alia,87,98,48,92.5,0
115,Kiara Mahajan,36,95,8,65.5,2
116,Eshani Bajaj,84,40,10,62,1
117,Ehsaan Das,40,43,62,52.5,0
118,Ishita Bassi,60,30,37,48.5,2
119,Oorja Vohra,26,93,30,61.5,2
120,Veer Kata,54,99,70,84.5,0
121,Ojas Raj,14,2,55,34.5,2
122,Gatik Doctor,12,81,37,59,2
123,Indrajit Ghosh,22,40,34,37,2
124,Mamooty Ganesan,34,81,65,73,1
125,Yuvraj  Bhatt,29,58,57,57.5,1
126,Aaina Dara,34,52,26,43,2
127,Raghav Dass,49,82,54,68,0
128,Nayantara Batta,23,6,86,54.5,2
129,Devansh Dewan,98,92,53,95,0
130,Samiha Swamy,67,1,52,59.5,1
131,Jayesh Goyal,42,59,49,54,0
132,Alisha Sura,54,83,33,68.5,1
133,Pihu Agarwal,5,75,9,42,2
134,Vivaan Borra,42,5,90,66,1
135,Rohan Ahluwalia,23,57,76,66.5,1
136,Hridaan Karan,33,95,20,64,2
137,Samiha Bawa,26,0,87,56.5,2
138,Tarini Srinivas,49,49,85,67,0
139,Kabir Vasa,90,96,30,93,1
140,Sahil Kunda,91,16,32,61.5,2
141,Kaira Vig,46,87,37,66.5,1
142,Kiara Verma,96,16,13,56,2
143,Yakshit Baral,16,24,67,45.5,2
144,Arnav Iyengar,11,45,100,72.5,1
145,Biju Dutt,52,16,68,60,1
146,Tara Walla,53,38,88,70.5,1
147,Sahil Aggarwal,42,42,72,57,0
148,Zaina Sarraf,93,90,54,91.5,0
149,Anahita Kala,34,78,45,61.5,1
150,Umang Barman,72,8,68,70,1
151,Vihaan Bahl,45,21,85,65,1
152,Riya Jain,64,1,39,51.5,2
153,Adah Varty,54,10,91,72.5,1
154,Nishith Keer,15,0,72,43.5,2
155,Veer Ratti,88,61,39,74.5,1
156,Vivaan Bhatia,63,73,39,68,1
157,Saira Talwar,0,32,66,49,2
158,Emir Gopal,70,28,51,60.5,1
159,Fateh Dhingra,49,67,71,69,0
160,Rhea Sani,62,33,72,67,1
161,Vivaan Dora,98,45,75,86.5,0
162,Uthkarsh Keer,62,4,19,40.5,2
163,Anay Kale,46,68,58,63,0
164,Ahana  Gupta,73,50,62,67.5,0
165,Taran Korpal,100,4,1,52,2
166,Prerak Ganguly,36,33,58,47,2
167,Arnav Salvi,79,4,68,73.5,1
168,Aradhya Hans,39,99,21,69,2
169,Myra Ghosh,9,100,72,86,1
170,Tiya Upadhyay,7,61,46,53.5,1
171,Vivaan Yadav,49,22,8,35.5,2
172,Hazel Sanghvi,66,48,99,82.5,0
173,Oorja Chand,16,75,27,51,2
174,Saanvi Batta,53,24,35,44,2
175,Ishita Agate,9,67,91,79,1
176,Sahil Sangha,85,71,46,78,0
177,Vivaan Trivedi,41,8,9,25,2
178,Kanav Sarraf,70,40,77,73.5,0
179,Eva Choudhry,26,6,2,16,3
180,Anay Atwal,28,16,99,63.5,2
181,Hansh Tara,37,60,52,56,1
182,Dhruv Sandal,81,42,71,76,0
183,Purab Uppal,73,34,45,59,1
184,Ojas Choudhary,77,1,78,77.5,1
185,Aniruddh Singhal,66,88,11,77,1
186,Hansh Salvi,14,57,30,43.5,2
187,Vidur Walla,58,88,54,73,0
188,Zaina Dubey,40,31,88,64,1
189,Yasmin Date,94,58,10,76,1
190,Zoya Ranganathan,30,60,37,48.5,2
191,Baiju Agrawal,21,73,31,52,2
192,Anahita Kant,50,72,21,61,1
193,Lakshay Trivedi,41,0,49,45,1
194,Devansh Arya,4,85,29,57,2
195,Charvi Sachdev,92,94,51,93,0
196,Vanya Vala,51,60,72,66,0
197,Saksham Bose,40,82,14,61,1
198,Divyansh Lata,78,83,89,86,0
199,Anahi Mand,45,72,81,76.5,0
200,Anya Ganesh,54,100,0,77,1
201,Akarsh Sani,12,4,76,44,2
202,Ehsaan Deo,59,68,80,74,0
203,Yasmin Chahal,2,61,13,37,2
204,Taran Kumer,51,56,29,53.5,1
205,Ayesha Yadav,26,66,40,53,1
206,Vaibhav Gade,2,44,80,62,1
207,Aarav Ganguly,62,95,15,78.5,1
208,Sahil Tripathi,68,93,10,80.5,1
209,Krish Sarkar,10,57,29,43,2
210,Taimur Thakkar,19,83,53,68,1
211,Nirvi Sankaran,94,82,11,88,1
212,Vidur Sarraf,62,8,63,62.5,1
213,Renee Agarwal,4,21,25,23,3
214,Rhea Chander,51,19,1,35,2
215,Samar Anand,29,74,97,85.5,1
216,Anya Sahota,46,12,97,71.5,1
217,Vidur Dugar,20,76,20,48,2
218,Rati Bains,12,74,11,43,2
219,Ira Gola,27,88,96,92,1
220,Chirag Barad,72,35,18,53.5,2
221,Ela Kaur,46,44,80,63,0
222,Bhavin Swamy,52,81,6,66.5,1
223,Alia Banik,8,17,23,20,3
224,Pari Balakrishnan,7,6,29,18,3
225,Amira Arora,25,87,90,88.5,1
226,Bhavin Bose,11,28,88,58,2
227,Pihu Lata,29,26,65,47,2
228,Raghav Soman,50,37,21,43.5,2
229,Eshani Lall,60,94,10,77,1
230,Rati Bassi,18,64,6,41,2
231,Emir Sibal,30,27,85,57.5,2
232,Trisha Sane,99,50,93,96,0
233,Lavanya Edwin,35,13,5,24,3
234,Kiaan Hayre,40,14,60,50,1
235,Mishti Mand,20,41,84,62.5,1
236,Advik Sanghvi,20,93,38,65.5,2
237,Nayantara Subramanian,81,29,56,68.5,1
238,Aarush Sahota,79,38,100,89.5,1
239,Rania Dar,18,68,48,58,1
240,Uthkarsh Mandal,93,63,95,94,0
241,Ela Tata,83,41,64,73.5,0
242,Arnav Sankaran,12,69,70,69.5,1
243,Vivaan Aggarwal,93,25,49,71,1
244,Chirag Saxena,43,45,42,44,0
245,Shanaya Korpal,87,62,71,79,0
246,Siya Grewal,55,98,14,76.5,1
247,Reyansh Chawla,62,95,23,78.5,1
248,Hrishita Deshmukh,75,1,23,49,2
249,Riya Bhatia,30,79,33,56,2
250,Armaan Agrawal,36,11,47,41.5,2
251,Eva Master,22,85,31,58,2
252,Rania Loyal,19,1,35,27,3
253,Gatik Vala,59,7,86,72.5,1
254,Mishti Zacharia,34,22,19,28,3
255,Emir Sachar,99,40,43,71,0
256,Inaaya  Bhavsar,78,76,58,77,0
257,Divyansh Kaul,28,85,82,83.5,1
258,Shanaya Seshadri,44,43,98,71,0
259,Aarav Sengupta,41,77,34,59,1
260,Dhanuk Behl,28,33,80,56.5,2
261,Ivan Grewal,7,85,16,50.5,2
262,Samiha Kapoor,45,31,39,42,2
263,Kabir Ghose,77,70,30,73.5,1
264,Renee Vasa,21,16,77,49,2
265,Hunar Bal,33,7,15,24,3
266,Tejas Kale,9,21,49,35,2
267,Aradhya Agarwal,83,3,31,57,2
268,Baiju Arya,48,41,79,63.5,0
269,Nishith Soni,0,3,98,50.5,2
270,Taimur Keer,58,90,42,74,0
271,Nitya Anne,51,21,31,41,2
272,Saanvi Wable,81,13,75,78,1
273,Abram Kurian,87,80,81,84,0
274,Rohan Sangha,44,55,2,49.5,1
275,Saksham Sarna,63,37,9,50,2
276,Jayant Keer,96,53,0,74.5,1
277,Tiya Chopra,46,28,54,50,1
278,Adah Kar,77,20,71,74,1
279,Misha Gupta,56,45,62,59,0
280,Divij Choudhry,4,18,48,33,2
281,Jayesh Goswami,80,52,95,87.5,0
282,Kartik Mandal,81,41,4,61,1
283,Lakshay Deshpande,66,92,0,79,1
284,Vidur Babu,37,49,13,43,2
285,Seher Badal,63,62,65,64,0
286,Piya Virk,21,55,76,65.5,1
287,Amira Batta,37,4,49,43,2
288,Vidur Mangal,100,53,57,78.5,0
289,Mehul Grover,77,4,1,40.5,2
290,Aarush Sridhar,13,70,71,70.5,1
291,Ishita Biswas,76,90,79,84.5,0
292,Ishaan Bhandari,76,94,100,97,0
293,Nehmat Bakshi,30,34,16,32,3
294,Pihu Hayre,35,74,5,54.5,2
295,Akarsh Ranganathan,49,94,48,71.5,0
296,Ayesha Chhabra,58,86,9,72,1
297,Purab Cheema,66,12,14,40,2
298,Vedika Tandon,77,63,56,70,0
299,Aaryahi Chokshi,54,82,46,68,0
300,Saira Raju,95,64,86,90.5,0
301,Alisha Kant,90,71,85,87.5,0
302,Inaaya  Chadha,47,89,13,68,1
303,Nehmat Kulkarni,17,53,88,70.5,1
304,Samarth Bora,61,21,49,55,1
305,Vritika Sem,91,0,74,82.5,1
306,Nitara Salvi,62,54,70,66,0
307,Anika Dar,77,27,82,79.5,1
308,Darshit Sama,84,99,89,94,0
309,Aarna Mani,4,19,25,22,3
310,Suhana Rajan,45,81,81,81,0
311,Vidur Subramaniam,85,49,34,67,1
312,Abram Manda,85,41,51,68,0
313,Ritvik Hari,28,50,94,72,1
314,Anahita Mand,63,28,17,45.5,2
315,Mehul Bala,52,6,62,57,1
316,Vihaan Savant,98,22,37,67.5,2
317,Tanya Sarna,52,52,26,52,1
318,Shamik Toor,28,77,9,52.5,2
319,Samarth Sarraf,29,87,82,84.5,1
320,Shray Contractor,50,35,2,42.5,2
321,Miraan Gill,59,26,98,78.5,1
322,Lakshay Handa,97,71,48,84,0
323,Dhanush Manda,27,91,5,59,2
324,Yashvi Das,92,38,32,65,2
325,Vaibhav Jaggi,59,35,93,76,1
326,Uthkarsh Bhardwaj,35,86,69,77.5,1
327,Tara Kaur,87,53,78,82.5,0
328,Manikya Master,91,90,45,90.5,0
329,Armaan Salvi,74,23,70,72,1
330,Chirag Hari,89,29,9,59,2
331,Yuvraj  Ravi,16,94,56,75,1
332,Akarsh Kalita,18,53,78,65.5,1
333,Krish Dutta,41,76,98,87,0
334,Myra Wable,73,29,96,84.5,1
335,Shalv Golla,30,37,53,45,2
336,Advika Shenoy,68,27,82,75,1
337,Sara Mangal,93,84,75,88.5,0
338,Himmat Thaman,86,12,92,89,1
339,Nakul Warrior,35,27,18,31,3
340,Kabir Sharaf,91,60,88,89.5,0
341,Badal Dhingra,91,45,75,83,0
342,Prerak Ahluwalia,15,57,28,42.5,2
343,Ishita Dayal,87,23,57,72,1
344,Kashvi Guha,55,60,61,60.5,0
345,Mannat Kaur,68,27,91,79.5,1
346,Anahita Kakar,67,73,42,70,0
347,Purab Deo,52,37,97,74.5,1
348,Miraya Dora,52,22,88,70,1
349,Ojas Bawa,22,22,22,22,3
350,Shalv Chakrabarti,24,52,3,38,2
351,Miraya Reddy,96,34,79,87.5,1
352,Chirag Kapur,77,59,26,68,1
353,Miraan Mandal,33,60,89,74.5,1
354,Prerak Garde,36,44,57,50.5,1
355,Tarini Bansal,23,48,98,73,1
356,Amani Dhingra,54,77,44,65.5,0
357,Riya Raja,72,12,37,54.5,2
358,Nishith Edwin,2,59,44,51.5,1
359,Pihu Andra,26,14,92,59,2
360,Myra Tailor,63,77,15,70,1
361,Sana Mahal,80,84,72,82,0
362,Vedika Sant,14,14,43,28.5,2
363,Azad Savant,61,61,76,68.5,0
364,Rhea Kant,8,13,25,19,3
365,Yuvraj  Ravel,41,45,79,62,0
366,Sara Kakar,0,39,63,51,2
367,Eva Issac,8,54,73,63.5,1
368,Lakshit Sachar,12,4,35,23.5,3
369,Shlok Mammen,91,79,71,85,0
370,Aniruddh Kurian,86,12,10,49,2
371,Kiara Baral,67,21,2,44,2
372,Kabir Ramanathan,29,15,73,51,2
373,Indrans Agarwal,4,5,39,22,3
374,Dhruv Kade,99,10,29,64,2
375,Kartik Aurora,42,13,76,59,1
376,Stuvan Chauhan,7,4,79,43,2
377,Keya Tiwari,33,2,19,26,3
378,Nishith Chaudry,65,35,21,50,2
379,Ehsaan Mangal,33,23,97,65,2
380,Kismat Ganesan,34,70,87,78.5,1
381,Ishaan Korpal,55,53,39,54,1
382,Siya Mangal,86,97,3,91.5,1
383,Abram Wagle,94,93,83,93.5,0
384,Prisha Saini,15,60,12,37.5,2
385,Krish Bhagat,50,98,15,74,1
386,Krish Gill,38,0,65,51.5,2
387,Zoya Butala,67,59,40,63,0
388,Yasmin Madan,6,36,32,34,3
389,Nayantara Bal,99,70,93,96,0
390,Zaina Bedi,25,29,0,27,3
391,Arhaan Tank,51,62,57,59.5,0
392,Heer Deshpande,91,85,38,88,1
393,Zoya Soni,54,90,34,72,1
394,Ishaan Balasubramanian,55,39,20,47,2
395,Prerak Maharaj,19,100,3,59.5,2
396,Khushi Madan,85,11,11,48,2
397,Ivana Basu,35,51,17,43,2
398,Darshit Warrior,15,61,92,76.5,1
399,Charvi Bose,2,8,82,45,2
400,Samaira Suri,85,24,79,82,1
401,Emir Hegde,48,17,1,32.5,2
402,Indranil Iyer,46,40,10,43,1
403,Aaryahi Kurian,15,35,67,51,2
404,Kiara Deo,18,42,48,45,1
405,Divij Dhawan,61,12,98,79.5,1
406,Shanaya Dutt,16,82,65,73.5,1
407,Rati Chakraborty,16,63,98,80.5,1
408,Pranay Thakur,22,97,65,81,1
409,Divyansh Wali,58,18,69,63.5,1
410,Ela Sen,50,53,81,67,0
411,Shanaya Bala,24,76,30,53,2
412,Akarsh Chadha,57,99,19,78,1
413,Saira Sandal,94,7,18,56,2
414,Trisha Chahal,89,38,72,80.5,1
415,Siya Subramaniam,3,25,71,48,2
416,Alia Subramanian,25,97,98,97.5,1
417,Mahika Thakkar,32,0,46,39,2
418,Ishita Contractor,3,26,62,44,2
419,Purab Baria,76,32,10,54,2
420,Miraan Dua,64,78,18,71,1
421,Fateh Dara,41,3,24,32.5,2
422,Saanvi Venkataraman,73,89,99,94,0
423,Mishti Ramanathan,46,87,18,66.5,1
424,Neysa Bandi,56,14,90,73,1
425,Farhan Shroff,79,35,33,57,2
426,Yuvraj  Garg,41,10,25,33,2
427,Yasmin Lad,78,49,22,63.5,1
428,Hunar Keer,83,4,18,50.5,2
429,Ojas Tiwari,10,91,1,50.5,2
430,Gokul Thaker,1,28,99,63.5,2
431,Aarav Kakar,36,18,53,44.5,2
432,Zain Ramakrishnan,13,10,50,31.5,2
433,Shlok Gill,27,79,4,53,2
434,Samar Buch,25,26,43,34.5,2
435,Heer Badami,38,78,80,79,1
436,Divit Baria,0,95,75,85,1
437,Lavanya Balay,97,36,95,96,1
438,Vidur Kant,82,21,92,87,1
439,Sahil Sahota,62,14,45,53.5,1
440,Shlok Bajaj,92,35,32,63.5,2
441,Pari De,69,26,70,69.5,1
442,Myra Ratta,86,84,10,85,1
443,Charvi Kulkarni,26,24,47,36.5,2
444,Ahana  Sehgal,71,23,38,54.5,2
445,Darshit Bobal,87,32,57,72,1
446,Advika Goyal,79,0,91,85,1
447,Tara Khurana,0,8,96,52,2
448,Manikya Datta,34,32,58,46,2
449,Ela Sem,11,11,19,15,3
450,Heer Chopra,95,41,12,68,1
451,Tarini Mammen,33,31,48,40.5,2
452,Vritika Vasa,44,85,92,88.5,0
453,Vanya Shan,39,55,85,70,1
454,Tushar Tandon,26,74,18,50,2
455,Kashvi Kurian,74,16,29,51.5,2
456,Romil Dey,71,63,12,67,1
457,Rania Tandon,57,41,13,49,1
458,Neelofar Singh,84,98,80,91,0
459,Oorja Lad,4,25,43,34,2
460,Diya Ray,59,97,56,78,0
461,Tiya Khare,80,17,49,64.5,1
462,Ela Kurian,100,79,62,89.5,0
463,Jiya Majumdar,47,59,41,53,0
464,Jivika Sachdeva,55,31,98,76.5,1
465,Divit Bhagat,53,85,6,69,1
466,Gokul Verma,91,49,43,70,0
467,Adira Brahmbhatt,96,98,41,97,0
468,Anay Sandal,46,40,15,43,1
469,Aayush Gokhale,41,74,50,62,0
470,Saira Ram,39,24,45,42,2
471,Jivika Halder,58,61,92,76.5,0
472,Purab Deo,29,1,67,48,2
473,Amani Devi,23,33,7,28,3
474,Tarini Goyal,96,97,36,96.5,1
475,Piya Ravi,16,42,25,33.5,2
476,Ritvik Comar,85,9,16,50.5,2
477,Rasha Dugar,18,23,73,48,2
478,Indrajit Sathe,70,82,56,76,0
479,Ishaan Dass,28,87,2,57.5,2
480,Kabir Ramaswamy,5,23,84,53.5,2
481,Madhup Kibe,64,18,9,41,2
482,Divyansh Koshy,93,66,48,79.5,0
483,Tushar Mangal,91,41,21,66,1
484,Arnav Dave,91,8,81,86,1
485,Nitara Arora,26,45,14,35.5,2
486,Nitara Garg,38,46,54,50,1
487,Onkar Bhavsar,73,15,69,71,1
488,Anya Edwin,67,75,5,71,1
489,Hansh Dayal,38,100,76,88,1
490,Amani Mand,57,88,68,78,0
491,Kavya Ramakrishnan,40,86,47,66.5,0
492,Jivin Anne,72,74,62,73,0
493,Sana Kala,92,76,45,84,0
494,Manjari Din,95,38,71,83,1
495,Hiran Mangat,27,1,5,16,3
496,Samar Tripathi,65,67,15,66,1
497,Madhav Majumdar,43,75,57,66,0
498,Aayush Chana,10,61,85,73,1
499,Mahika Tak,39,27,45,42,2
500,Zaina Andra,40,34,19,37,2
501,Advika Chaudhuri,95,100,16,97.5,1
502,Neysa Saha,16,29,94,61.5,2
503,Vanya Shroff,54,75,25,64.5,1
504,Samiha Jain,17,24,95,59.5,2
505,Adira Shan,81,62,70,75.5,0
506,Nishith Sodhi,99,19,73,86,1
507,Alisha Hayre,78,94,13,86,1
508,Sara Jayaraman,88,47,83,85.5,0
509,Khushi Shukla,95,4,59,77,1
510,Faiyaz Lal,53,9,96,74.5,1
511,Aniruddh Garde,7,72,55,63.5,1
512,Adah Bhat,69,3,73,71,1
513,Anvi Chokshi,99,12,33,66,2
514,Ehsaan Goswami,12,59,80,69.5,1
515,Farhan Bhatia,88,53,12,70.5,1
516,Divit Kadakia,36,18,37,36.5,3
517,Anvi Gole,9,89,70,79.5,1
518,Kartik Deol,32,81,29,56.5,2
519,Nakul Babu,51,55,25,53,1
520,Vanya Kuruvilla,74,93,83,88,0
521,Kabir Bhatia,9,45,15,30,2
522,Arnav Rama,100,92,48,96,0
523,Anya Manda,96,0,68,82,1
524,Parinaaz Doctor,89,97,99,98,0
525,Rohan Chaudhari,67,9,78,72.5,1
526,Rhea Sarna,33,12,51,42,2
527,Yasmin Sibal,33,32,60,46.5,2
528,Inaaya  Sachdeva,79,71,16,75,1
529,Mohanlal Wagle,36,85,98,91.5,1
530,Himmat Choudhry,89,62,13,75.5,1
531,Nehmat Dyal,79,40,74,76.5,0
532,Farhan Chaudhuri,94,95,85,94.5,0
533,Anay Chaudry,28,93,14,60.5,2
534,Charvi Shukla,54,96,39,75,1
535,Vritika Bala,56,94,88,91,0
536,Pranay Mallick,94,39,71,82.5,1
537,Anay Thaker,92,82,34,87,1
538,Ivana Zachariah,58,69,64,66.5,0
539,Charvi Iyengar,28,51,97,74,1
540,Kiaan Jaggi,65,30,21,47.5,2
541,Siya Kulkarni,98,57,93,95.5,0
542,Jiya Sastry,98,7,20,59,2
543,Inaaya  Grover,32,18,58,45,2
544,Dhanuk Magar,71,18,74,72.5,1
545,Tara Bhardwaj,37,78,9,57.5,2
546,Jiya Bal,43,0,46,44.5,1
547,Hunar Kaul,59,65,48,62,0
548,Dharmajan Ratta,68,39,94,81,1
549,Shray Solanki,59,77,91,84,0
550,Lakshay Wagle,56,89,0,72.5,1
551,Damini Sarkar,27,93,5,60,2
552,Kabir Garg,22,75,76,75.5,1
553,Badal Upadhyay,8,6,92,50,2
554,Emir Keer,64,46,33,55,1
555,Priyansh Raj,71,35,92,81.5,1
556,Siya Aurora,83,34,69,76,1
557,Vritika Kapur,30,82,86,84,1
558,Chirag Sarraf,99,41,8,70,1
559,Veer Kulkarni,62,25,35,48.5,2
560,Akarsh Ganesan,99,40,48,73.5,0
561,Zaina Edwin,93,95,13,94,1
562,Shanaya Krishnan,35,63,19,49,2
563,Kimaya Loke,25,39,17,32,3
564,Bhamini Manda,77,88,82,85,0
565,Indranil Ramachandran,84,88,97,92.5,0
566,Fateh Keer,33,16,81,57,2
567,Elakshi Devan,98,53,39,75.5,1
568,Aayush Jani,85,8,5,46.5,2
569,Trisha Tak,8,19,19,19,3
570,Nirvi Ganguly,6,79,90,84.5,1
571,Sumer Desai,67,94,46,80.5,0
572,Nakul Tella,43,53,36,48,1
573,Saira Chadha,17,17,53,35,2
574,Nitara Rao,27,66,100,83,1
575,Ivan Tara,45,15,0,30,2
576,Aarush Bobal,64,98,51,81,0
577,Parinaaz Hayer,31,66,59,62.5,1
578,Rania Chaudhry,8,98,4,53,2
579,Bhamini Biswas,27,1,18,22.5,3
580,Ritvik Kota,46,94,100,97,0
581,Mannat Mammen,51,99,7,75,1
582,Pari Vasa,7,35,83,59,2
583,Kanav Manne,49,2,42,45.5,1
584,Raunak Sachdev,68,78,73,75.5,0
585,Jhanvi Seshadri,10,69,20,44.5,2
586,Myra Balan,44,94,71,82.5,0
587,Samarth Bora,25,20,33,29,3
588,Kavya Varghese,99,54,10,76.5,1
589,Hiran Dutt,66,13,38,52,2
590,Kaira Lala,84,84,90,87,0
591,Armaan Sastry,7,89,23,56,2
592,Vardaniya Kannan,4,92,5,48.5,2
593,Devansh Seshadri,0,93,54,73.5,1
594,Mannat Grewal,63,59,21,61,1
595,Purab Suresh,96,24,95,95.5,1
596,Mannat Sanghvi,82,29,45,63.5,1
597,Shaan Arora,83,27,87,85,1
598,Tejas Konda,54,21,2,37.5,2
599,Tiya Sengupta,21,30,9,25.5,3
600,Tejas Shah,12,86,75,80.5,1
601,Myra Suri,96,52,24,74,1
602,Adira Bawa,28,70,99,84.5,1
603,Nirvi Sawhney,10,95,97,96,1
604,Anaya Dubey,50,86,56,71,0
605,Siya Kata,84,82,56,83,0
606,Yakshit Sani,5,13,82,47.5,2
607,Rati Bir,32,1,51,41.5,2
608,Farhan Taneja,61,52,92,76.5,0
609,Umang Dugar,38,37,13,37.5,3
610,Piya Tailor,45,6,95,70,1
611,Samaira Madan,62,100,20,81,1
612,Tejas Bajwa,53,32,55,54,1
613,Vivaan Sengupta,76,96,76,86,0
614,Eshani Sachdeva,52,10,3,31,2
615,Jayan Tiwari,98,89,47,93.5,0
616,Abram Sarraf,47,70,45,58.5,0
617,Tara Garg,87,78,95,91,0
618,Khushi Rama,60,60,17,60,1
619,Dhanuk Kar,100,32,61,80.5,1
620,Aaina Sandhu,4,86,29,57.5,2
621,Eva Bhargava,15,72,24,48,2
622,Dishani Kuruvilla,48,21,58,53,1
623,Prerak Buch,91,92,78,91.5,0
624,Rati Mani,44,50,60,55,0
625,Elakshi Konda,69,50,97,83,0
626,Nishith Chakraborty,94,95,81,94.5,0
627,Urvi Gulati,23,42,71,56.5,1
628,Arnav Bal,5,2,12,8.5,3
629,Krish Chokshi,3,79,59,69,1
630,Tanya Sibal,38,20,8,29,3
631,Yuvaan Kara,85,96,100,98,0
632,Gokul Dayal,8,80,61,70.5,1
633,Jayant Varghese,6,20,7,13.5,3
634,Tiya Sehgal,80,80,39,80,1
635,Yasmin Bahri,94,7,11,52.5,2
